,year,month,unc_h,unc_flu,unc_ta,eps
223,2017.0,1.0,9.47265625,3.0712890625,0.1884765625,0.968
224,2017.0,1.0,-4.94140625,-4.9853515625,0.6455078125,0.95
225,2017.0,1.0,4.47265625,-4.9853515625,0.6455078125,0.946
226,2017.0,1.0,-4.94140625,4.3212890625,0.6455078125,0.97
227,2017.0,1.0,-4.94140625,-4.9853515625,0.9384765625,0.946
228,2017.0,1.0,-4.94140625,4.3212890625,0.9384765625,0.966
229,2017.0,1.0,4.47265625,-4.9853515625,0.9384765625,0.942
230,2017.0,1.0,4.47265625,4.3212890625,0.6455078125,0.966
231,2017.0,1.0,4.47265625,4.3212890625,0.9384765625,0.962
232,2017.0,1.0,15.05859375,0.0146484375,-0.3544921875,0.966
233,2017.0,1.0,-15.52734375,0.0146484375,-0.3544921875,0.976
234,2017.0,1.0,15.05859375,-0.6787109375,-0.3544921875,0.964
235,2017.0,1.0,15.05859375,0.0146484375,-0.0615234375,0.962
236,2017.0,1.0,15.05859375,-0.6787109375,-0.0615234375,0.96
237,2017.0,1.0,-15.52734375,0.0146484375,-0.0615234375,0.972
238,2017.0,1.0,-15.52734375,-0.6787109375,-0.3544921875,0.976
239,2017.0,1.0,-15.52734375,-0.6787109375,-0.0615234375,0.972
240,2017.0,1.0,5.05859375,-2.4853515625,0.1455078125,0.958
241,2017.0,1.0,14.47265625,-2.4853515625,0.1455078125,0.954
242,2017.0,1.0,5.05859375,-3.1787109375,0.1455078125,0.956
243,2017.0,1.0,5.05859375,-2.4853515625,-0.5615234375,0.966
244,2017.0,1.0,5.05859375,-3.1787109375,-0.5615234375,0.964
245,2017.0,1.0,14.47265625,-2.4853515625,-0.5615234375,0.962
246,2017.0,1.0,14.47265625,-3.1787109375,0.1455078125,0.952
247,2017.0,1.0,14.47265625,-3.1787109375,-0.5615234375,0.962
248,2017.0,1.0,-14.94140625,2.5146484375,-0.8544921875,0.988
249,2017.0,1.0,-5.52734375,2.5146484375,-0.8544921875,0.984
250,2017.0,1.0,-14.94140625,1.8212890625,-0.8544921875,0.986
251,2017.0,1.0,-14.94140625,2.5146484375,0.4384765625,0.972
252,2017.0,1.0,-14.94140625,1.8212890625,0.4384765625,0.97
253,2017.0,1.0,-5.52734375,2.5146484375,0.4384765625,0.968
254,2017.0,1.0,-5.52734375,1.8212890625,-0.8544921875,0.984
255,2017.0,1.0,-5.52734375,1.8212890625,0.4384765625,0.966
256,2017.0,1.0,-12.44140625,-3.1103515625,0.0205078125,0.964
257,2017.0,1.0,-18.02734375,-3.1103515625,0.0205078125,0.966
258,2017.0,1.0,-12.44140625,-3.8037109375,0.0205078125,0.962
259,2017.0,1.0,-12.44140625,-3.1103515625,0.0634765625,0.964
260,2017.0,1.0,-12.44140625,-3.8037109375,0.0634765625,0.962
261,2017.0,1.0,-18.02734375,-3.1103515625,0.0634765625,0.966
262,2017.0,1.0,-18.02734375,-3.8037109375,0.0205078125,0.964
263,2017.0,1.0,-18.02734375,-3.8037109375,0.0634765625,0.964
264,2017.0,1.0,7.55859375,1.8896484375,-0.9794921875,0.98
265,2017.0,1.0,1.97265625,1.8896484375,-0.9794921875,0.982
266,2017.0,1.0,7.55859375,1.1962890625,-0.9794921875,0.978
267,2017.0,1.0,7.55859375,1.8896484375,-0.9365234375,0.98
268,2017.0,1.0,7.55859375,1.1962890625,-0.9365234375,0.978
269,2017.0,1.0,1.97265625,1.8896484375,-0.9365234375,0.982
270,2017.0,1.0,1.97265625,1.1962890625,-0.9794921875,0.98
271,2017.0,1.0,1.97265625,1.1962890625,-0.9365234375,0.98
272,2017.0,1.0,17.55859375,-0.6103515625,0.5205078125,0.952
273,2017.0,1.0,-8.02734375,-0.6103515625,0.5205078125,0.962
